"departure_or_arrival_place","streetmap_url","wikidata_url"
"Amboina","https://www.openstreetmap.org/relation/4096899","https://www.wikidata.org/entity/Q219608"
"Amelander Gat","https://www.openstreetmap.org/relation/1518492","https://www.wikidata.org/entity/Q20825"
"Amsterdam","https://www.openstreetmap.org/relation/271110","https://www.wikidata.org/entity/Q727"
"Atjeh","https://www.openstreetmap.org/relation/2390836","https://www.wikidata.org/entity/Q1823"
"Bali","https://www.openstreetmap.org/relation/2130352","https://www.wikidata.org/entity/Q4648"
"Bantam","https://www.openstreetmap.org/relation/13256653","https://www.wikidata.org/wiki/Q2086056"
"Batavia","https://www.openstreetmap.org/relation/6362934","https://www.wikidata.org/entity/Q3630"
"Bathicaloa","https://www.openstreetmap.org/relation/5351721","https://www.wikidata.org/entity/Q810960"
"Bengal","https://www.openstreetmap.org/relation/1960177","https://www.wikidata.org/entity/Q1356"
"Bergen","https://www.openstreetmap.org/relation/297089","https://www.wikidata.org/entity/Q9901"
"Bergen (Norway)","https://www.openstreetmap.org/relation/404159","https://www.wikidata.org/entity/Q10428388"
"Cadiz","https://www.openstreetmap.org/relation/346956","https://www.wikidata.org/entity/Q15682"
"Cambodia","https://www.openstreetmap.org/relation/49898","https://www.wikidata.org/entity/Q424"
"Ceylon","https://www.openstreetmap.org/relation/10946441","https://www.wikidata.org/entity/Q4526612"
"Ceylon?","https://www.openstreetmap.org/relation/10946441","https://www.wikidata.org/entity/Q4526612"
"China","https://www.openstreetmap.org/relation/1867188","https://www.wikidata.org/entity/Q14773"
"Cochin","https://www.openstreetmap.org/node/3862624198","https://www.wikidata.org/entity/Q1800"
"Colombo","https://www.openstreetmap.org/relation/16132","https://www.wikidata.org/entity/Q35381"
"Cork","https://www.openstreetmap.org/relation/11797890","https://www.wikidata.org/entity/Q36647"
"Coromandel","https://www.openstreetmap.org/relation/1766358","https://www.wikidata.org/entity/Q1352"
"Djaratan","https://www.openstreetmap.org/relation/9677344","https://www.wikidata.org/wiki/Q7699747"
"Eems","https://www.openstreetmap.org/relation/370068","https://www.wikidata.org/entity/Q1648"
"Elbe","https://www.openstreetmap.org/relation/123822","https://www.wikidata.org/entity/Q1644"
"Engano","https://www.openstreetmap.org/relation/9718597","https://www.wikidata.org/entity/Q1342338"
"Enkhuizen","https://www.openstreetmap.org/relation/296469","https://www.wikidata.org/entity/Q9918"
"Gale","https://www.openstreetmap.org/relation/5337914","https://www.wikidata.org/entity/Q647649"
"Gamron","https://www.openstreetmap.org/relation/7072823","https://www.wikidata.org/entity/Q154814"
"GlÂ¸ckstadt","https://www.openstreetmap.org/relation/447206","https://www.wikidata.org/entity/Q377277"
"Goa","https://www.openstreetmap.org/relation/11251493","https://www.wikidata.org/entity/Q1171"
"Goeree","https://www.openstreetmap.org/relation/15627443","https://www.wikidata.org/entity/Q2348393"
"Grevelingen","https://www.openstreetmap.org/relation/10311170","https://www.wikidata.org/entity/Q1546115"
"Hellevoetsluis","https://www.openstreetmap.org/relation/1360669","https://www.wikidata.org/entity/Q33444372"
"Jacatra","https://www.openstreetmap.org/relation/6362934","https://www.wikidata.org/entity/Q3630"
"Johore","https://www.openstreetmap.org/relation/2939653","https://www.wikidata.org/entity/Q183032"
"La Rochelle","https://www.openstreetmap.org/relation/117858","https://www.wikidata.org/entity/Q82185"
"Lisbon","https://www.openstreetmap.org/relation/5400890","https://www.wikidata.org/entity/Q597"
"Lorient","https://www.openstreetmap.org/relation/1652956","https://www.wikidata.org/entity/Q701562"
"Maas","https://www.openstreetmap.org/way/1434927850","https://www.wikidata.org/entity/Q41986"
"Macassar","https://www.openstreetmap.org/relation/11243159","https://www.wikidata.org/entity/Q14634"
"Madagascar","https://www.openstreetmap.org/relation/447325","https://www.wikidata.org/entity/Q1019"
"Malabar","https://www.openstreetmap.org/relation/9969690","https://www.wikidata.org/entity/Q3593128"
"Masulipatnam","https://www.openstreetmap.org/relation/10154510","https://www.wikidata.org/entity/Q18127612"
"Mauritius","https://www.openstreetmap.org/relation/535828","https://www.wikidata.org/entity/Q1027"
"Middelburg","https://www.openstreetmap.org/relation/1579282","https://www.wikidata.org/entity/Q52101"
"Mocha","https://www.openstreetmap.org/node/296878736","https://www.wikidata.org/entity/Q339258"
"Negapatnam","https://www.openstreetmap.org/relation/1819591","https://www.wikidata.org/entity/Q15185"
"Negombo","https://www.openstreetmap.org/node/2064194449","https://www.wikidata.org/entity/Q668616"
"Norway","https://www.openstreetmap.org/relation/2978650","https://www.wikidata.org/entity/Q20"
"Ooster Eems","https://www.openstreetmap.org/way/1275502437",NULL
"Patria","https://www.openstreetmap.org/relation/2323309","https://www.wikidata.org/entity/Q29999"
"Persia","https://www.openstreetmap.org/relation/304938","https://www.wikidata.org/entity/Q794"
"Plymouth","https://www.openstreetmap.org/relation/189924","https://www.wikidata.org/entity/Q43382"
"Pondicherry","https://www.openstreetmap.org/node/245600130","https://www.wikidata.org/entity/Q639421"
"Portsmouth","https://www.openstreetmap.org/relation/127167","https://www.wikidata.org/entity/Q72259"
"Pulicat","https://www.openstreetmap.org/node/322481124","https://www.wikidata.org/entity/Q2117793"
"Rammekens","https://www.openstreetmap.org/way/276003916","https://www.wikidata.org/entity/Q623265"
"Riga","https://www.openstreetmap.org/relation/13048688","https://www.wikidata.org/entity/Q1773"
"Rochefort","https://www.openstreetmap.org/relation/117888","https://www.wikidata.org/entity/Q207587"
"Rotterdam","https://www.openstreetmap.org/relation/1411101","https://www.wikidata.org/entity/Q34370"
"Setubal","https://www.openstreetmap.org/relation/5401851","https://www.wikidata.org/entity/Q173699"
"Surat","https://www.openstreetmap.org/relation/1952514","https://www.wikidata.org/entity/Q1797317"
"Tegenapatnam","https://www.openstreetmap.org/node/4592194577","https://www.wikidata.org/entity/Q279951"
"Ternate","https://www.openstreetmap.org/relation/13263676","https://www.wikidata.org/entity/Q19151"
"Terschelling","https://www.openstreetmap.org/relation/6395220","https://www.wikidata.org/entity/Q204412"
"Texel","https://www.openstreetmap.org/relation/1545777","https://www.wikidata.org/entity/Q9966"
"The Cape","https://www.openstreetmap.org/node/148729604","https://www.wikidata.org/entity/Q4092"
"Tidore","https://www.openstreetmap.org/relation/13263677","https://www.wikidata.org/entity/Q19153"
"Trondheim","https://www.openstreetmap.org/relation/10143487","https://www.wikidata.org/entity/Q25804"
"Tuticorin","https://www.openstreetmap.org/node/5443775116","https://www.wikidata.org/entity/Q41562"
"Veere","https://www.openstreetmap.org/relation/1733970","https://www.wikidata.org/entity/Q3184100"
"Vlie","https://www.openstreetmap.org/way/798475441",NULL
"Vlissingen","https://www.openstreetmap.org/relation/161150","https://www.wikidata.org/entity/Q10084"
"Wielingen","https://www.openstreetmap.org/relation/9745223","https://www.wikidata.org/entity/Q2473749"
"Zeeland","https://www.openstreetmap.org/relation/47806","https://www.wikidata.org/entity/Q705"
